"UF";"Município";"Ano";"Transferência";"Valor Consolidado";"Código IBGE";"Código SIAFI"
"SP";"Adamantina";"2012";"FUNDEB";"R$7.668.145,28";"3500105";"6101"
"SP";"Adamantina";"2013";"FUNDEB";"R$9.405.210,71";"3500105";"6101"
"SP";"Adamantina";"2014";"FUNDEB";"R$9.321.506,46";"3500105";"6101"
"SP";"Adamantina";"2015";"FUNDEB";"R$9.599.618,68";"3500105";"6101"
"SP";"Adamantina";"2016";"FUNDEB";"R$9.674.489,28";"3500105";"6101"
"SP";"Adamantina";"2017";"FUNDEB";"R$10.023.530,32";"3500105";"6101"
"SP";"Adamantina";"2018";"FUNDEB";"R$10.622.889,94";"3500105";"6101"
"SP";"Adamantina";"2019";"FUNDEB";"R$11.916.345,86";"3500105";"6101"
"SP";"Adamantina";"2021";"AJUSTE FUNDEB";"-R$244.874,33";"3500105";"6101"
"SP";"Adamantina";"2021";"FUNDEB";"R$14.452.608,59";"3500105";"6101"
"SP";"Adamantina";"2022";"AJUSTE FUNDEB";"-R$749,35";"3500105";"6101"
"SP";"Adamantina";"2022";"FUNDEB";"R$16.640.749,14";"3500105";"6101"
"SP";"Adolfo";"2012";"FUNDEB";"R$1.884.183,94";"3500204";"6103"
"SP";"Adolfo";"2013";"FUNDEB";"R$2.060.630,92";"3500204";"6103"
"SP";"Adolfo";"2014";"FUNDEB";"R$2.138.264,71";"3500204";"6103"
"SP";"Adolfo";"2015";"FUNDEB";"R$2.201.015,85";"3500204";"6103"
"SP";"Adolfo";"2016";"FUNDEB";"R$2.166.479,49";"3500204";"6103"
"SP";"Adolfo";"2017";"FUNDEB";"R$2.392.375,60";"3500204";"6103"
"SP";"Adolfo";"2018";"FUNDEB";"R$2.723.119,19";"3500204";"6103"
"SP";"Adolfo";"2019";"FUNDEB";"R$3.228.213,63";"3500204";"6103"
"SP";"Adolfo";"2021";"AJUSTE FUNDEB";"-R$28.246,92";"3500204";"6103"
"SP";"Adolfo";"2021";"FUNDEB";"R$4.134.125,86";"3500204";"6103"
"SP";"Adolfo";"2022";"AJUSTE FUNDEB";"-R$196,57";"3500204";"6103"
"SP";"Adolfo";"2022";"FUNDEB";"R$4.367.720,82";"3500204";"6103"
"SP";"Aguaí";"2012";"FUNDEB";"R$11.686.134,18";"3500303";"6105"
"SP";"Aguaí";"2013";"FUNDEB";"R$13.902.850,65";"3500303";"6105"
"SP";"Aguaí";"2014";"FUNDEB";"R$14.099.660,69";"3500303";"6105"
"SP";"Aguaí";"2015";"FUNDEB";"R$14.438.501,42";"3500303";"6105"
"SP";"Aguaí";"2016";"FUNDEB";"R$14.526.697,16";"3500303";"6105"
"SP";"Aguaí";"2017";"FUNDEB";"R$15.044.253,53";"3500303";"6105"
"SP";"Aguaí";"2018";"FUNDEB";"R$16.385.992,73";"3500303";"6105"
"SP";"Aguaí";"2019";"FUNDEB";"R$18.642.073,77";"3500303";"6105"
"SP";"Aguaí";"2021";"AJUSTE FUNDEB";"-R$128.264,96";"3500303";"6105"
"SP";"Aguaí";"2021";"FUNDEB";"R$23.417.687,80";"3500303";"6105"
"SP";"Aguaí";"2022";"AJUSTE FUNDEB";"-R$1.166,15";"3500303";"6105"
"SP";"Aguaí";"2022";"FUNDEB";"R$25.917.283,92";"3500303";"6105"
"SP";"Águas da Prata";"2012";"FUNDEB";"R$2.089.549,07";"3500402";"6107"
"SP";"Águas da Prata";"2013";"FUNDEB";"R$2.194.982,34";"3500402";"6107"
"SP";"Águas da Prata";"2014";"FUNDEB";"R$2.225.439,76";"3500402";"6107"
"SP";"Águas da Prata";"2015";"FUNDEB";"R$2.113.115,95";"3500402";"6107"
"SP";"Águas da Prata";"2016";"FUNDEB";"R$2.472.806,43";"3500402";"6107"
"SP";"Águas da Prata";"2017";"FUNDEB";"R$2.489.571,93";"3500402";"6107"
"SP";"Águas da Prata";"2018";"FUNDEB";"R$2.876.390,94";"3500402";"6107"
"SP";"Águas da Prata";"2019";"FUNDEB";"R$3.126.218,64";"3500402";"6107"
"SP";"Águas da Prata";"2021";"AJUSTE FUNDEB";"-R$16.638,98";"3500402";"6107"
"SP";"Águas da Prata";"2021";"FUNDEB";"R$3.796.048,08";"3500402";"6107"
"SP";"Águas da Prata";"2022";"AJUSTE FUNDEB";"-R$196,31";"3500402";"6107"
"SP";"Águas da Prata";"2022";"FUNDEB";"R$4.360.401,82";"3500402";"6107"
"SP";"Águas de Lindóia";"2012";"FUNDEB";"R$7.550.460,50";"3500501";"6109"
"SP";"Águas de Lindóia";"2013";"FUNDEB";"R$8.825.181,10";"3500501";"6109"
"SP";"Águas de Lindóia";"2014";"FUNDEB";"R$9.032.144,42";"3500501";"6109"
"SP";"Águas de Lindóia";"2015";"FUNDEB";"R$9.772.053,56";"3500501";"6109"
"SP";"Águas de Lindóia";"2016";"FUNDEB";"R$9.742.123,70";"3500501";"6109"
"SP";"Águas de Lindóia";"2017";"FUNDEB";"R$10.024.816,00";"3500501";"6109"
"SP";"Águas de Lindóia";"2018";"FUNDEB";"R$10.594.716,60";"3500501";"6109"
"SP";"Águas de Lindóia";"2019";"FUNDEB";"R$12.527.886,36";"3500501";"6109"
"SP";"Águas de Lindóia";"2021";"AJUSTE FUNDEB";"-R$125.934,43";"3500501";"6109"
"SP";"Águas de Lindóia";"2021";"FUNDEB";"R$14.642.203,03";"3500501";"6109"
"SP";"Águas de Lindóia";"2022";"AJUSTE FUNDEB";"-R$708,53";"3500501";"6109"
"SP";"Águas de Lindóia";"2022";"FUNDEB";"R$15.748.428,64";"3500501";"6109"
"SP";"Águas de Santa Bárbara";"2012";"FUNDEB";"R$2.229.044,91";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2013";"FUNDEB";"R$2.495.006,19";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2014";"FUNDEB";"R$2.665.448,47";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2015";"FUNDEB";"R$2.679.427,98";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2016";"FUNDEB";"R$3.351.787,59";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2017";"FUNDEB";"R$3.445.708,85";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2018";"FUNDEB";"R$3.117.394,92";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2019";"FUNDEB";"R$3.659.848,71";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2021";"AJUSTE FUNDEB";"-R$9.931,64";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2021";"FUNDEB";"R$4.629.451,91";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2022";"AJUSTE FUNDEB";"-R$228,10";"3500550";"7019"
"SP";"Águas de Santa Bárbara";"2022";"FUNDEB";"R$5.066.932,99";"3500550";"7019"
"SP";"Águas de São Pedro";"2012";"FUNDEB";"R$2.651.037,73";"3500600";"6111"
"SP";"Águas de São Pedro";"2013";"FUNDEB";"R$2.915.741,88";"3500600";"6111"
"SP";"Águas de São Pedro";"2014";"FUNDEB";"R$2.723.449,93";"3500600";"6111"
"SP";"Águas de São Pedro";"2015";"FUNDEB";"R$2.146.411,44";"3500600";"6111"
"SP";"Águas de São Pedro";"2016";"FUNDEB";"R$2.755.344,75";"3500600";"6111"
"SP";"Águas de São Pedro";"2017";"FUNDEB";"R$2.907.382,81";"3500600";"6111"
